320BoundingBox(left=145000.0, bottom=199000.0, right=146000.0, top=200000.0)
321BoundingBox(left=146000.0, bottom=218000.0, right=147000.0, top=219000.0)
322BoundingBox(left=146000.0, bottom=217000.0, right=147000.0, top=218000.0)
323BoundingBox(left=146000.0, bottom=216000.0, right=147000.0, top=217000.0)
324BoundingBox(left=146000.0, bottom=215000.0, right=147000.0, top=216000.0)
325BoundingBox(left=146000.0, bottom=214000.0, right=147000.0, top=215000.0)
326BoundingBox(left=146000.0, bottom=213000.0, right=147000.0, top=214000.0)
327BoundingBox(left=146000.0, bottom=212000.0, right=147000.0, top=213000.0)
328BoundingBox(left=146000.0, bottom=211000.0, right=147000.0, top=212000.0)
329BoundingBox(left=146000.0, bottom=210000.0, right=147000.0, top=211000.0)
330BoundingBox(left=146000.0, bottom=209000.0, right=147000.0, top=210000.0)
331BoundingBox(left=146000.0, bottom=208000.0, right=147000.0, top=209000.0)
332BoundingBox(left=146000.0, bottom=207000.0, right=147000.0, top=208000.0)
333BoundingBox(left=146000.0, bottom=206000.0, right=147000.0, top=207000.0)
334BoundingBox(left=146000.0, bottom=205000.0, right=147000.0, top=206000.0)
335BoundingBox(left=146000.0, bottom=204000.0, right=147000.0, top=205000.0)
336BoundingBox(left=146000.0, bottom=203000.0, right=147000.0, top=204000.0)
337BoundingBox(left=146000.0, bottom=202000.0, right=147000.0, top=203000.0)
338BoundingBox(left=146000.0, bottom=201000.0, right=147000.0, top=202000.0)
339BoundingBox(left=146000.0, bottom=200000.0, right=147000.0, top=201000.0)
340BoundingBox(left=146000.0, bottom=199000.0, right=147000.0, top=200000.0)
341BoundingBox(left=147000.0, bottom=218000.0, right=148000.0, top=219000.0)
342BoundingBox(left=147000.0, bottom=217000.0, right=148000.0, top=218000.0)
343BoundingBox(left=147000.0, bottom=216000.0, right=148000.0, top=217000.0)
344BoundingBox(left=147000.0, bottom=215000.0, right=148000.0, top=216000.0)
345BoundingBox(left=147000.0, bottom=214000.0, right=148000.0, top=215000.0)
346BoundingBox(left=147000.0, bottom=213000.0, right=148000.0, top=214000.0)
347BoundingBox(left=147000.0, bottom=212000.0, right=148000.0, top=213000.0)
348BoundingBox(left=147000.0, bottom=211000.0, right=148000.0, top=212000.0)
349BoundingBox(left=147000.0, bottom=210000.0, right=148000.0, top=211000.0)
350BoundingBox(left=147000.0, bottom=209000.0, right=148000.0, top=210000.0)
351BoundingBox(left=147000.0, bottom=208000.0, right=148000.0, top=209000.0)
352BoundingBox(left=147000.0, bottom=207000.0, right=148000.0, top=208000.0)
353BoundingBox(left=147000.0, bottom=206000.0, right=148000.0, top=207000.0)
354BoundingBox(left=147000.0, bottom=205000.0, right=148000.0, top=206000.0)
355BoundingBox(left=147000.0, bottom=204000.0, right=148000.0, top=205000.0)
356BoundingBox(left=147000.0, bottom=203000.0, right=148000.0, top=204000.0)
357BoundingBox(left=147000.0, bottom=202000.0, right=148000.0, top=203000.0)
358BoundingBox(left=147000.0, bottom=201000.0, right=148000.0, top=202000.0)
